"FLG_RELATO_TORTURA","SIG_UF_ORIGEM_AUDIENCIA","ANO","MES","NUM_AUDIENCIAS"
N,SP,2016,12,876
N,PE,2016,12,106
N,RO,2014,9,3
N,PB,2016,12,134
S,SP,2016,12,23
N,SP,1977,12,2
N,PB,2014,7,8
N,PA,2017,2,567
N,SC,2017,2,255
N,,2013,12,17
N,RO,2008,7,1
N,,2014,7,35
N,SP,2019,10,5265
S,RS,2019,10,113
N,PR,2001,5,2
N,,2005,4,4
N,AC,1993,5,1
N,PI,2017,1,127
N,TO,2017,1,23
N,MA,2017,1,107
N,DF,1982,5,1
N,RO,2002,4,1
N,,1989,6,5
S,PE,2017,1,5
N,DF,1984,2,1
N,PR,2005,12,3
N,SE,2017,1,23
N,SP,2007,1,4
N,,2012,6,19
N,PB,2013,12,5
N,,1979,1,1
N,PR,2017,2,977
N,SE,2017,8,176
N,PR,2014,2,2
N,RS,2014,8,5
S,SE,2017,2,3
N,DF,2016,2,4
N,,2019,1,3810
N,PR,2003,9,2
N,PR,2017,8,1194
N,,2009,3,15
N,PB,2017,3,306
S,SP,2017,10,245
N,PR,2017,10,1125
N,SC,2017,3,230
S,PA,2017,3,93
N,SP,1998,4,4
S,PR,2017,3,43
S,SC,2017,3,25
S,PE,2017,3,3
N,PR,2013,2,5
N,RO,2000,2,1
N,DF,2007,4,1
N,SP,1989,6,3
N,MG,2017,3,4
N,SP,1984,12,2
N,,1998,3,2
N,DF,2017,4,116
S,AL,2017,3,2
N,SP,1992,4,3
N,PR,2020,2,372
N,AL,2017,4,31
N,,2017,5,3199
S,SP,2017,9,176
N,MT,2017,1,7
N,,2017,7,3099
S,PR,2017,5,30
N,SC,1988,7,1
N,RO,2002,3,1
N,PA,1991,11,1
S,GO,2017,5,111
N,RO,2008,5,1
N,PR,1994,10,1
N,RO,1998,1,1
N,PR,1999,11,2
N,SP,1998,9,2
S,BA,2017,6,74
S,MT,2017,6,26
N,RO,2013,6,2
N,,2015,4,16
N,PR,2011,10,3
N,,1997,6,4
N,SP,1995,8,3
S,PI,2017,7,17
S,BA,2017,7,45
N,SP,1980,6,1
S,PE,2014,4,1
S,PB,2013,4,1
N,PR,1976,11,1
N,CE,2014,2,3
N,PA,2017,11,671
N,CE,2017,8,510
N,,1995,3,6
N,AL,2017,8,36
S,CE,2017,2,1
N,SP,2007,8,1
N,,1998,5,6
S,MT,2017,8,4
S,,2010,9,1
N,AC,2017,9,109
